stimulus_id,stimulus,sentence,word,c1,vowel,c2,backness,height,c1_place,c2_place
1,Scrivete 'papo' sul foglio,Scrivete X sul foglio,papo,p,a,p,central,low,labial,labial
2,Ha detto 'papo' sei volte,Ha detto X sei volte,papo,p,a,p,central,low,labial,labial
3,Sentivo 'papo' di nuovo,Sentivo X di nuovo,papo,p,a,p,central,low,labial,labial
4,Ripete 'papo' da sempre,Ripete X da sempre,papo,p,a,p,central,low,labial,labial
5,Scrivete 'pepo' sul foglio,Scrivete X sul foglio,pepo,p,e,p,front,mid-high,labial,labial
6,Ha detto 'pepo' sei volte,Ha detto X sei volte,pepo,p,e,p,front,mid-high,labial,labial
7,Sentivo 'pepo' di nuovo,Sentivo X di nuovo,pepo,p,e,p,front,mid-high,labial,labial
8,Ripete 'pepo' da sempre,Ripete X da sempre,pepo,p,e,p,front,mid-high,labial,labial
9,Scrivete 'pipo' sul foglio,Scrivete X sul foglio,pipo,p,i,p,front,high,labial,labial
10,Ha detto 'pipo' sei volte,Ha detto X sei volte,pipo,p,i,p,front,high,labial,labial
11,Sentivo 'pipo' di nuovo,Sentivo X di nuovo,pipo,p,i,p,front,high,labial,labial
12,Ripete 'pipo' da sempre,Ripete X da sempre,pipo,p,i,p,front,high,labial,labial
13,Scrivete 'popo' sul foglio,Scrivete X sul foglio,popo,p,o,p,back,mid-low,labial,labial
14,Ha detto 'popo' sei volte,Ha detto X sei volte,popo,p,o,p,back,mid-low,labial,labial
15,Sentivo 'popo' di nuovo,Sentivo X di nuovo,popo,p,o,p,back,mid-low,labial,labial
16,Ripete 'popo' da sempre,Ripete X da sempre,popo,p,o,p,back,mid-low,labial,labial
17,Scrivete 'pupo' sul foglio,Scrivete X sul foglio,pupo,p,u,p,back,high,labial,labial
18,Ha detto 'pupo' sei volte,Ha detto X sei volte,pupo,p,u,p,back,high,labial,labial
19,Sentivo 'pupo' di nuovo,Sentivo X di nuovo,pupo,p,u,p,back,high,labial,labial
20,Ripete 'pupo' da sempre,Ripete X da sempre,pupo,p,u,p,back,high,labial,labial
21,Scrivete 'pato' sul foglio,Scrivete X sul foglio,pato,p,a,t,central,low,labial,coronal
22,Ha detto 'pato' sei volte,Ha detto X sei volte,pato,p,a,t,central,low,labial,coronal
23,Sentivo 'pato' di nuovo,Sentivo X di nuovo,pato,p,a,t,central,low,labial,coronal
24,Ripete 'pato' da sempre,Ripete X da sempre,pato,p,a,t,central,low,labial,coronal
25,Scrivete 'pito' sul foglio,Scrivete X sul foglio,pito,p,i,t,front,high,labial,coronal
26,Ha detto 'pito' sei volte,Ha detto X sei volte,pito,p,i,t,front,high,labial,coronal
27,Sentivo 'pito' di nuovo,Sentivo X di nuovo,pito,p,i,t,front,high,labial,coronal
28,Ripete 'pito' da sempre,Ripete X da sempre,pito,p,i,t,front,high,labial,coronal
29,Scrivete 'poto' sul foglio,Scrivete X sul foglio,poto,p,o,t,back,mid-low,labial,coronal
30,Ha detto 'poto' sei volte,Ha detto X sei volte,poto,p,o,t,back,mid-low,labial,coronal
31,Sentivo 'poto' di nuovo,Sentivo X di nuovo,poto,p,o,t,back,mid-low,labial,coronal
32,Ripete 'poto' da sempre,Ripete X da sempre,poto,p,o,t,back,mid-low,labial,coronal
33,Scrivete 'puto' sul foglio,Scrivete X sul foglio,puto,p,u,t,back,high,labial,coronal
34,Ha detto 'puto' sei volte,Ha detto X sei volte,puto,p,u,t,back,high,labial,coronal
35,Sentivo 'puto' di nuovo,Sentivo X di nuovo,puto,p,u,t,back,high,labial,coronal
36,Ripete 'puto' da sempre,Ripete X da sempre,puto,p,u,t,back,high,labial,coronal
37,Scrivete 'paco' sul foglio,Scrivete X sul foglio,paco,p,a,k,central,low,labial,velar
38,Ha detto 'paco' sei volte,Ha detto X sei volte,paco,p,a,k,central,low,labial,velar
39,Sentivo 'paco' di nuovo,Sentivo X di nuovo,paco,p,a,k,central,low,labial,velar
40,Ripete 'paco' da sempre,Ripete X da sempre,paco,p,a,k,central,low,labial,velar
41,Scrivete 'peco' sul foglio,Scrivete X sul foglio,peco,p,e,k,front,mid-high,labial,velar
42,Ha detto 'peco' sei volte,Ha detto X sei volte,peco,p,e,k,front,mid-high,labial,velar
43,Sentivo 'peco' di nuovo,Sentivo X di nuovo,peco,p,e,k,front,mid-high,labial,velar
44,Ripete 'peco' da sempre,Ripete X da sempre,peco,p,e,k,front,mid-high,labial,velar
45,Scrivete 'pico' sul foglio,Scrivete X sul foglio,pico,p,i,k,front,high,labial,velar
46,Ha detto 'pico' sei volte,Ha detto X sei volte,pico,p,i,k,front,high,labial,velar
47,Sentivo 'pico' di nuovo,Sentivo X di nuovo,pico,p,i,k,front,high,labial,velar
48,Ripete 'pico' da sempre,Ripete X da sempre,pico,p,i,k,front,high,labial,velar
49,Scrivete 'poco' sul foglio,Scrivete X sul foglio,poco,p,o,k,back,mid-low,labial,velar
50,Ha detto 'poco' sei volte,Ha detto X sei volte,poco,p,o,k,back,mid-low,labial,velar
51,Sentivo 'poco' di nuovo,Sentivo X di nuovo,poco,p,o,k,back,mid-low,labial,velar
52,Ripete 'poco' da sempre,Ripete X da sempre,poco,p,o,k,back,mid-low,labial,velar
53,Scrivete 'puco' sul foglio,Scrivete X sul foglio,puco,p,u,k,back,high,labial,velar
54,Ha detto 'puco' sei volte,Ha detto X sei volte,puco,p,u,k,back,high,labial,velar
55,Sentivo 'puco' di nuovo,Sentivo X di nuovo,puco,p,u,k,back,high,labial,velar
56,Ripete 'puco' da sempre,Ripete X da sempre,puco,p,u,k,back,high,labial,velar
57,Scrivete 'tapo' sul foglio,Scrivete X sul foglio,tapo,t,a,p,central,low,coronal,labial
58,Ha detto 'tapo' sei volte,Ha detto X sei volte,tapo,t,a,p,central,low,coronal,labial
59,Sentivo 'tapo' di nuovo,Sentivo X di nuovo,tapo,t,a,p,central,low,coronal,labial
60,Ripete 'tapo' da sempre,Ripete X da sempre,tapo,t,a,p,central,low,coronal,labial
61,Scrivete 'tepo' sul foglio,Scrivete X sul foglio,tepo,t,e,p,front,mid-high,coronal,labial
62,Ha detto 'tepo' sei volte,Ha detto X sei volte,tepo,t,e,p,front,mid-high,coronal,labial
63,Sentivo 'tepo' di nuovo,Sentivo X di nuovo,tepo,t,e,p,front,mid-high,coronal,labial
64,Ripete 'tepo' da sempre,Ripete X da sempre,tepo,t,e,p,front,mid-high,coronal,labial
65,Scrivete 'tipo' sul foglio,Scrivete X sul foglio,tipo,t,i,p,front,high,coronal,labial
66,Ha detto 'tipo' sei volte,Ha detto X sei volte,tipo,t,i,p,front,high,coronal,labial
67,Sentivo 'tipo' di nuovo,Sentivo X di nuovo,tipo,t,i,p,front,high,coronal,labial
68,Ripete 'tipo' da sempre,Ripete X da sempre,tipo,t,i,p,front,high,coronal,labial
69,Scrivete 'topo' sul foglio,Scrivete X sul foglio,topo,t,o,p,back,mid-low,coronal,labial
70,Ha detto 'topo' sei volte,Ha detto X sei volte,topo,t,o,p,back,mid-low,coronal,labial
71,Sentivo 'topo' di nuovo,Sentivo X di nuovo,topo,t,o,p,back,mid-low,coronal,labial
72,Ripete 'topo' da sempre,Ripete X da sempre,topo,t,o,p,back,mid-low,coronal,labial
73,Scrivete 'tupo' sul foglio,Scrivete X sul foglio,tupo,t,u,p,back,high,coronal,labial
74,Ha detto 'tupo' sei volte,Ha detto X sei volte,tupo,t,u,p,back,high,coronal,labial
75,Sentivo 'tupo' di nuovo,Sentivo X di nuovo,tupo,t,u,p,back,high,coronal,labial
76,Ripete 'tupo' da sempre,Ripete X da sempre,tupo,t,u,p,back,high,coronal,labial
77,Scrivete 'tato' sul foglio,Scrivete X sul foglio,tato,t,a,t,central,low,coronal,coronal
78,Ha detto 'tato' sei volte,Ha detto X sei volte,tato,t,a,t,central,low,coronal,coronal
79,Sentivo 'tato' di nuovo,Sentivo X di nuovo,tato,t,a,t,central,low,coronal,coronal
80,Ripete 'tato' da sempre,Ripete X da sempre,tato,t,a,t,central,low,coronal,coronal
81,Scrivete 'teto' sul foglio,Scrivete X sul foglio,teto,t,e,t,front,mid-high,coronal,coronal
82,Ha detto 'teto' sei volte,Ha detto X sei volte,teto,t,e,t,front,mid-high,coronal,coronal
83,Sentivo 'teto' di nuovo,Sentivo X di nuovo,teto,t,e,t,front,mid-high,coronal,coronal
84,Ripete 'teto' da sempre,Ripete X da sempre,teto,t,e,t,front,mid-high,coronal,coronal
85,Scrivete 'tito' sul foglio,Scrivete X sul foglio,tito,t,i,t,front,high,coronal,coronal
86,Ha detto 'tito' sei volte,Ha detto X sei volte,tito,t,i,t,front,high,coronal,coronal
87,Sentivo 'tito' di nuovo,Sentivo X di nuovo,tito,t,i,t,front,high,coronal,coronal
88,Ripete 'tito' da sempre,Ripete X da sempre,tito,t,i,t,front,high,coronal,coronal
89,Scrivete 'toto' sul foglio,Scrivete X sul foglio,toto,t,o,t,back,mid-low,coronal,coronal
90,Ha detto 'toto' sei volte,Ha detto X sei volte,toto,t,o,t,back,mid-low,coronal,coronal
91,Sentivo 'toto' di nuovo,Sentivo X di nuovo,toto,t,o,t,back,mid-low,coronal,coronal
92,Ripete 'toto' da sempre,Ripete X da sempre,toto,t,o,t,back,mid-low,coronal,coronal
93,Scrivete 'tuto' sul foglio,Scrivete X sul foglio,tuto,t,u,t,back,high,coronal,coronal
94,Ha detto 'tuto' sei volte,Ha detto X sei volte,tuto,t,u,t,back,high,coronal,coronal
95,Sentivo 'tuto' di nuovo,Sentivo X di nuovo,tuto,t,u,t,back,high,coronal,coronal
96,Ripete 'tuto' da sempre,Ripete X da sempre,tuto,t,u,t,back,high,coronal,coronal
97,Scrivete 'taco' sul foglio,Scrivete X sul foglio,taco,t,a,k,central,low,coronal,velar
98,Ha detto 'taco' sei volte,Ha detto X sei volte,taco,t,a,k,central,low,coronal,velar
99,Sentivo 'taco' di nuovo,Sentivo X di nuovo,taco,t,a,k,central,low,coronal,velar
100,Ripete 'taco' da sempre,Ripete X da sempre,taco,t,a,k,central,low,coronal,velar
101,Scrivete 'teco' sul foglio,Scrivete X sul foglio,teco,t,e,k,front,mid-high,coronal,velar
102,Ha detto 'teco' sei volte,Ha detto X sei volte,teco,t,e,k,front,mid-high,coronal,velar
103,Sentivo 'teco' di nuovo,Sentivo X di nuovo,teco,t,e,k,front,mid-high,coronal,velar
104,Ripete 'teco' da sempre,Ripete X da sempre,teco,t,e,k,front,mid-high,coronal,velar
105,Scrivete 'tico' sul foglio,Scrivete X sul foglio,tico,t,i,k,front,high,coronal,velar
106,Ha detto 'tico' sei volte,Ha detto X sei volte,tico,t,i,k,front,high,coronal,velar
107,Sentivo 'tico' di nuovo,Sentivo X di nuovo,tico,t,i,k,front,high,coronal,velar
108,Ripete 'tico' da sempre,Ripete X da sempre,tico,t,i,k,front,high,coronal,velar
109,Scrivete 'toco' sul foglio,Scrivete X sul foglio,toco,t,o,k,back,mid-low,coronal,velar
110,Ha detto 'toco' sei volte,Ha detto X sei volte,toco,t,o,k,back,mid-low,coronal,velar
111,Sentivo 'toco' di nuovo,Sentivo X di nuovo,toco,t,o,k,back,mid-low,coronal,velar
112,Ripete 'toco' da sempre,Ripete X da sempre,toco,t,o,k,back,mid-low,coronal,velar
113,Scrivete 'tuco' sul foglio,Scrivete X sul foglio,tuco,t,u,k,back,high,coronal,velar
114,Ha detto 'tuco' sei volte,Ha detto X sei volte,tuco,t,u,k,back,high,coronal,velar
115,Sentivo 'tuco' di nuovo,Sentivo X di nuovo,tuco,t,u,k,back,high,coronal,velar
116,Ripete 'tuco' da sempre,Ripete X da sempre,tuco,t,u,k,back,high,coronal,velar
117,Scrivete 'capo' sul foglio,Scrivete X sul foglio,capo,k,a,p,central,low,velar,labial
118,Ha detto 'capo' sei volte,Ha detto X sei volte,capo,k,a,p,central,low,velar,labial
119,Sentivo 'capo' di nuovo,Sentivo X di nuovo,capo,k,a,p,central,low,velar,labial
